job_title,job_date,comp_name,comp_type,comp_size,eco_activity,region,city,benefits,contract,positions,exper,gender,Salary,is_tech_job
Salesperson,2022-10-28,شركة الورده المتميزه الصناعية,1,SB,Trade and Retail,Makkah,JEDDAH,0,1,4,0,0,4000.0,0
Engineer,2022-10-28,شركة اساس الحفر للمقاولات العامة,1,SA,Construction and Real Estate,Riyadh,ABA ASLAB,0,1,1,2,1,4000.0,0
Teacher/Trainer,2022-10-28,مركز النجوم العالية ضيافة الأطفال الأهلية,1,SA,Tertiary and Services,Eastern,AD DAMMAM,0,1,1,12,1,7500.0,0
Accountant,2022-10-28,مطعم الينا لتقديم الوجبات,1,SA,Trade and Retail,Riyadh,AR RIYADH,0,1,1,4,1,4000.0,0
Engineer,2022-10-28,شركة اساس الحفر للمقاولات العامة,1,SA,Construction and Real Estate,Riyadh,ABA ASLAB,0,1,2,2,2,4000.0,0
Salesperson,2022-10-28,شركة جوين العالمية المحدودة,1,SB,Tertiary and Services,Riyadh,AR RIYADH,0,1,10,0,2,5000.0,0
Clerk,2022-10-28,شركة جوين العالمية المحدودة,1,SB,Tertiary and Services,Riyadh,ABA ASLAB,1,1,10,0,2,5500.0,0
Receptionist,2022-10-28,مجمع الجمال العصري الطبي,1,SB,Tertiary and Services,Makkah,MAKKAH AL MUKARRAMAH,0,1,3,0,1,4000.0,0
Security Guard,2022-10-28,شركة عجائب البحار للمشروعات السياحيه والترفيهيه,1,MB,Tertiary and Services,Makkah,JEDDAH,0,1,10,0,0,4408.0,0
Switchboard Operator,2022-10-29,مطعم استراحة البساتين لتقديم الوجبات,1,SB,Tertiary and Services,Jazan,SABYA,0,1,3,0,1,3600.0,0
Accountant,2022-10-31,شركة نجد للمقاولات شركة شخص واحد,1,MA,Construction and Real Estate,Hail,HAIL,0,1,1,0,0,6000.0,0
Chef,2022-10-31,مطعـم الوجوه الاربعه لتقديم الوجبات,1,SB,Tertiary and Services,Riyadh,AR RIYADH,0,1,1,0,0,5200.0,0
Electrician,2022-10-31,مكتب الإبداع الحديث للاستشارات الهندسية,1,SA,Consulting and Profissonal Services,Makkah,JEDDAH,1,1,1,10,2,8000.0,0
Engineer,2022-10-31,شركة حمزة محمد الديري للمقاولات,1,MA,Tertiary and Services,Makkah,JEDDAH,0,1,2,2,0,7000.0,0
Analyst,2022-10-31,مكتب سيجما الكفاءات للاستقدام,1,SA,Tertiary and Services,Makkah,JEDDAH,1,1,2,0,1,4000.0,0
Electrician,2022-10-31,شركة الهضب للتجارة والمقاولات,1,MB,Tertiary and Services,Makkah,JEDDAH,1,1,2,2,0,8500.0,0
Technician,2022-10-31,شركة سنا المدينة للتمور,1,SB,Food Services,Madinah,AL MADINAH AL MUNAWARAH,1,1,1,2,2,4000.0,0
Salesperson,2022-10-31,شركة عيون الدار للصناعة شركة شخص واحد,1,SB,Industrial Manufacturing,Riyadh,AR RIYADH,0,1,1,2,2,4000.0,0
Analyst,2022-10-31,مجموعة البارقة للتشغيل والصيانة,1,SB,Tertiary and Services,Riyadh,AR RIYADH,1,1,4,2,2,6000.0,0
Lawyer,2022-10-31,مجموعة البارقة للتشغيل والصيانة,1,SB,Tertiary and Services,Eastern,AD DAMMAM,1,1,1,2,1,6000.0,0
Manager,2022-10-31,مجموعة البارقة للتشغيل والصيانة,1,SB,Tertiary and Services,Riyadh,AR RIYADH,1,1,3,4,2,7000.0,0
